arm_size,edge_count,mean_bell_pairs,std_dev
3,1,0.08,0.27142894774447635
3,2,0.21514818880351264,0.42688618937052464
3,3,0.3103448275862069,0.5077232250638608
3,4,0.3988995873452545,0.5407869987875824
3,5,0.38144329896907214,0.5212394259688929
3,6,0.3912310286677909,0.537817161846046
3,7,0.3952991452991453,0.5702654592787267
3,8,0.5310077519379846,0.6429865203169687
3,9,0.0,0.0
4,1,0.067,0.25014710386805117
4,2,0.24126268320180383,0.438509925339993
4,3,0.3765182186234818,0.547662621787144
4,4,0.5039808917197452,0.6247679604613062
4,5,0.5588235294117647,0.6095355719278229
4,6,0.625,0.6108730753775443
4,7,0.5936018957345972,0.6098025947443712
4,8,0.6095100864553314,0.6265757401423737
4,9,0.6086261980830671,0.640028818624939
4,10,0.5485611510791367,0.6100672403623155
4,11,0.5147679324894515,0.6301005846402046
4,12,0.45526315789473687,0.6251761099696209
4,13,0.44623655913978494,0.6361499583576709
4,14,0.4,0.483045891539648
4,15,1.3333333333333333,0.48507125007266594
4,16,0.0,0.0
5,1,0.056,0.23003677296666486
5,2,0.22322435174746336,0.43519225708333176
5,3,0.38430851063829785,0.5521231751761743
5,4,0.5253565768621236,0.636326629177443
5,5,0.6528599605522682,0.673324817892317
5,6,0.7303102625298329,0.655351652682995
5,7,0.7466666666666667,0.6539336613996762
5,8,0.736764705882353,0.674417570587846
5,9,0.8735177865612648,0.6783282706315125
5,10,0.6918103448275862,0.6619348513448954
5,11,0.6748878923766816,0.7171621130429833
5,12,0.6144278606965174,0.6036064910352609
5,13,0.49166666666666664,0.6037013394573262
5,14,0.6023391812865497,0.6573523736192448
5,15,0.4943181818181818,0.6187282726081582
5,16,0.45808383233532934,0.5896015952510425
5,17,0.4485294117647059,0.615477567556753
5,18,0.3607142857142857,0.5400101822343282
5,19,0.2572463768115942,0.444904267757153
5,20,0.20121951219512196,0.36733740081065397
5,21,0.23469387755102042,0.3966269344989924
5,22,0.2,0.37696851746252596
5,23,0.0,0.0
5,24,0.0,0.0
5,25,0.0,0.0
6,1,0.066,0.24840633185509928
6,2,0.18924972004479285,0.41146244333901116
6,3,0.3446291560102302,0.5371862511686364
6,4,0.5201612903225806,0.6271946719288272
6,5,0.6472868217054264,0.7177448522374605
6,6,0.7439903846153846,0.7395618630682034
6,7,0.827217125382263,0.7502305731137968
6,8,0.8800675675675675,0.7789440889590424
6,9,0.9442148760330579,0.7400709308453817
6,10,0.8436018957345972,0.6929538655682014
6,11,0.9342105263157895,0.8402180101917092
6,12,0.8507853403141361,0.734479343692032
6,13,0.7189189189189189,0.6851839795131185
6,14,0.7810650887573964,0.7192067732182436
6,15,0.6418918918918919,0.7446876269299221
6,16,0.6677215189873418,0.6786337893470512
6,17,0.5306122448979592,0.5650326993687045
6,18,0.543918918918919,0.5859147567903318
6,19,0.550314465408805,0.6962716454682745
6,20,0.38275862068965516,0.5433109437598284
6,21,0.38652482269503546,0.5290449424813991
6,22,0.3900709219858156,0.5381588937610748
6,23,0.34191176470588236,0.5153287547674746
6,24,0.21370967741935484,0.33235662045101294
6,25,0.2,0.36152697601419026
6,26,0.17669172932330826,0.3492171370289752
6,27,0.1752136752136752,0.3303357703771826
6,28,0.13218390804597702,0.27974001753852906
6,29,0.12037037037037036,0.27360598969336664
6,30,0.1111111111111111,0.33522192257329675
6,31,0.21739130434782608,0.39387604639143586
6,32,1.0,1.3228756555322954
6,33,0.0,0.0
6,34,1.5,1.4142135623730951
6,35,2.5,0.0
6,36,0.0,0.0
7,1,0.052,0.22213812222431645
7,2,0.17524644030668127,0.39453582758026157
7,3,0.3679369250985545,0.5601664002922007
7,4,0.5420098846787479,0.6282391284713137
7,5,0.6710794297352343,0.7397315121073134
7,6,0.8013333333333333,0.7411678408234836
7,7,0.8986486486486487,0.7409555430737575
7,8,0.9205426356589147,0.7540322837555137
7,9,0.9420600858369099,0.7383223386058934
7,10,1.0485714285714285,0.7479364057158028
7,11,1.1625766871165644,0.8029333482147674
7,12,0.9352941176470588,0.7369705914267645
7,13,0.89568345323741,0.7309781518570418
7,14,0.9124087591240876,0.6963608403139234
7,15,0.7846153846153846,0.6818194467019945
7,16,0.843065693430657,0.726979611782035
7,17,0.6788321167883211,0.6799038272101762
7,18,0.6791666666666667,0.7241217030971786
7,19,0.5807692307692308,0.6728507158854933
7,20,0.5390625,0.5805555817185526
7,21,0.5153846153846153,0.6034091183455584
7,22,0.4872881355932203,0.5753552020934385
7,23,0.37142857142857144,0.4542819006090448
7,24,0.4262295081967213,0.588007319722884
7,25,0.34962406015037595,0.41279242346640654
7,26,0.30223880597014924,0.4828590320151044
7,27,0.23841059602649006,0.33082944793399066
7,28,0.24452554744525548,0.37434643203958057
7,29,0.22180451127819548,0.3764544211343724
7,30,0.23507462686567165,0.34516149923531597
7,31,0.18027210884353742,0.33589778610450216
7,32,0.17424242424242425,0.3209292833382486
7,33,0.17132867132867133,0.3565528184451498
7,34,0.125,0.28060676663315687
7,35,0.13636363636363635,0.30276503540974914
7,36,0.13425925925925927,0.31774969195247815
7,37,0.11386138613861387,0.2727745233596045
7,38,0.08125,0.25709858720791096
7,39,0.08620689655172414,0.23203771310388394
7,40,0.043478260869565216,0.14244246232238394
7,41,0.038461538461538464,0.1358732440973515
7,42,0.0,0.0
7,43,0.16666666666666666,0.25819888974716115
7,44,0.0,0.0
7,45,0.0,0.0
7,46,0.0,0.0
7,47,0.0,0.0
7,48,0.0,0.0
7,49,0.0,0.0
8,1,0.049,0.21597603025716913
8,2,0.1769815418023887,0.395837044708138
8,3,0.3769230769230769,0.5581518827721761
8,4,0.4874015748031496,0.6309564276256997
8,5,0.7564102564102564,0.78220405837031
8,6,0.7770448548812665,0.7933424873379222
8,7,0.9473684210526315,0.8456018903049282
8,8,1.033195020746888,0.8832573233822842
8,9,1.2095959595959596,0.8683719748380297
8,10,1.085427135678392,0.8877611685533723
8,11,1.217687074829932,0.7518653224155066
8,12,1.1151079136690647,0.7786009069659656
8,13,0.9956521739130435,0.7708950487591504
8,14,0.9495412844036697,0.772636641782061
8,15,1.145,0.7729485719952491
8,16,0.95,0.7595643386153171
8,17,0.8379629629629629,0.7482962071056547
8,18,0.812,0.7973342683491479
8,19,0.7041666666666667,0.6689256196273525
8,20,0.6973684210526315,0.7121524802316846
8,21,0.6060606060606061,0.6399646326034764
8,22,0.6371681415929203,0.6554979963826694
8,23,0.45871559633027525,0.6090689630074304
8,24,0.527027027027027,0.6136249885195572
8,25,0.3978494623655914,0.5189828041516815
8,26,0.34134615384615385,0.49396564027417056
8,27,0.3055555555555556,0.4559483401536723
8,28,0.32575757575757575,0.4367858336141256
8,29,0.2948717948717949,0.3780271277088717
8,30,0.2265625,0.3541618418692512
8,31,0.2695035460992908,0.4687282585299058
8,32,0.2198581560283688,0.3452162589607581
8,33,0.1388888888888889,0.29235267310234303
8,34,0.1955128205128205,0.3834214305212492
8,35,0.17669172932330826,0.3753558348209176
8,36,0.1952662721893491,0.40130896701970853
8,37,0.16451612903225807,0.3471108837925656
8,38,0.13095238095238096,0.30088738636861173
8,39,0.11217948717948718,0.2312219848677606
8,40,0.11801242236024845,0.2652565264884551
8,41,0.1242603550295858,0.2603858463024346
8,42,0.10509554140127389,0.24040462108488644
8,43,0.11011904761904762,0.24729431202671073
8,44,0.046583850931677016,0.14578711187062332
8,45,0.057432432432432436,0.17027037970912007
8,46,0.08333333333333333,0.19698749007695732
8,47,0.058333333333333334,0.18542856711251524
8,48,0.045454545454545456,0.14447139909926615
8,49,0.03614457831325301,0.13027018195125353
8,50,0.06395348837209303,0.1999486938295889
8,51,0.056451612903225805,0.1595289867713912
8,52,0.1,0.30304576336566325
8,53,0.022727272727272728,0.10660035817780525
8,54,0.0625,0.16891598117304404
8,55,0.0,0.0
8,56,0.0,0.0
8,57,0.0,0.0
8,58,0.0,0.0
8,59,0.0,0.0
8,60,0.0,0.0
8,61,0.0,0.0
8,62,0.0,0.0
8,63,3.5,0.0
8,64,0.0,0.0
9,1,0.048,0.21387319079712103
9,2,0.1498371335504886,0.369080048419499
9,3,0.32083862770012705,0.5072480340754733
9,4,0.44871794871794873,0.6120236862659162
