arm_size,best_edge_count,mean_bell_pairs,std_dev
3,8,0.5310077519379846,0.6429865203169687
4,15,1.3333333333333333,0.48507125007266594
5,9,0.8735177865612648,0.6783282706315125
6,35,2.5,0.0
7,11,1.1625766871165644,0.8029333482147674
8,63,3.5,0.0
9,11,1.3597122302158273,0.9267145820523536
10,12,1.3829787234042554,0.9739221555821783
11,13,1.6896551724137931,0.943895254678362
12,14,1.75,1.0009610766273966
