arm_size,best_edge_count,mean_bell_pairs,std_dev
3,8,1.4548104956268222,0.4983170587517205
4,13,1.3619153674832962,0.6248906204002475
5,5,1.4084821428571428,0.754145672703094
6,34,2.1530612244897958,0.6862039422359334
7,8,1.753295668549906,0.8486190030957151
8,62,3.175675675675676,0.8011815598800885
9,9,2.0728476821192054,1.0198212867147016
10,97,4.75,0.3535533905932738
11,12,2.4066852367688023,1.1194371533552763
12,143,5.0246913580246915,1.5550346349999353
